epoch,phase,e_rmse_mol,e_rmse_atom,f_rmse,e_mae,f_mae
129,valid,1.005907,0.081346,0.288978,0.941599,0.197119
130,train,1.097523,0.078629,0.438357,0.772974,0.178944
130,valid,0.749805,0.061108,0.255841,0.703191,0.164349
131,train,0.696373,0.051701,0.407556,0.527356,0.145733
131,valid,0.688396,0.055989,0.242623,0.637656,0.161528
132,train,0.685997,0.050953,0.403394,0.531916,0.142541
132,valid,1.041121,0.084283,0.246397,0.989111,0.165186
133,train,1.049474,0.072455,0.42422,0.748059,0.164285
133,valid,0.315903,0.025928,0.257346,0.234524,0.172953
134,train,0.981723,0.060826,0.45149,0.579196,0.174376
134,valid,0.929621,0.075506,0.269089,0.862077,0.181651
135,train,0.95006,0.073492,0.406479,0.725393,0.155248
135,valid,0.98189,0.080328,0.254475,0.893713,0.170507
136,train,1.072768,0.078215,0.405998,0.773403,0.151078
136,valid,0.690502,0.056117,0.235123,0.601552,0.161243
137,train,0.676039,0.048474,0.387578,0.485482,0.14542
137,valid,0.584026,0.047579,0.233515,0.525587,0.160323
138,train,0.670149,0.048382,0.382273,0.506243,0.138686
138,valid,0.41634,0.033986,0.231238,0.339539,0.158313
139,train,0.634957,0.047952,0.380406,0.496958,0.138232
139,valid,0.436216,0.03544,0.227921,0.363919,0.156606
140,train,0.644805,0.047423,0.374768,0.501409,0.136808
140,valid,0.476955,0.038878,0.227351,0.393845,0.156051
141,train,0.665576,0.048101,0.37417,0.501537,0.136733
141,valid,0.447597,0.036216,0.227791,0.360893,0.155971
142,train,0.714551,0.048297,0.372873,0.509594,0.136167
142,valid,0.337981,0.027683,0.227391,0.293477,0.155593
143,train,0.62695,0.047352,0.371752,0.499058,0.134915
143,valid,0.462564,0.03779,0.226326,0.429312,0.154825
144,train,0.656803,0.047481,0.369182,0.493089,0.134743
144,valid,0.442338,0.03631,0.225392,0.398122,0.154349
145,train,0.686255,0.047771,0.36814,0.506184,0.134105
145,valid,0.484529,0.039519,0.22619,0.454279,0.155552
146,train,0.655441,0.047481,0.361042,0.50264,0.135737
146,valid,0.405383,0.032769,0.223629,0.360231,0.154089
147,train,0.643514,0.047595,0.355712,0.498635,0.133602
147,valid,0.470447,0.038556,0.224426,0.432714,0.154306
148,train,0.641087,0.048034,0.356057,0.505014,0.132949
148,valid,0.482457,0.039437,0.222742,0.452496,0.15439
149,train,0.677747,0.04784,0.35798,0.507925,0.133433
149,valid,0.271254,0.022326,0.223546,0.183833,0.153838
150,train,0.787616,0.055142,0.355976,0.565511,0.13795
150,valid,0.365367,0.029783,0.222453,0.33077,0.15329
151,train,0.634855,0.046148,0.345401,0.486351,0.132376
151,valid,0.352799,0.02887,0.222774,0.305761,0.153235
152,train,0.626103,0.04641,0.337062,0.48782,0.132196
152,valid,0.474927,0.038899,0.263836,0.407475,0.189016
153,train,0.956643,0.065864,0.358709,0.711889,0.160736
153,valid,0.933907,0.075937,0.226633,0.89622,0.155221
154,train,0.985072,0.067416,0.33552,0.755987,0.134493
154,valid,0.41925,0.034158,0.224132,0.384526,0.153237
155,train,0.961823,0.067098,0.329393,0.747311,0.131243
155,valid,0.956988,0.077457,0.221574,0.912947,0.152399
156,train,0.977888,0.066069,0.328078,0.748007,0.130155
156,valid,0.337407,0.027577,0.221129,0.228706,0.151903
157,train,1.015168,0.079146,0.337513,0.775898,0.144967
157,valid,0.633547,0.051302,0.247709,0.567498,0.177259
158,train,0.700022,0.053078,0.335839,0.456194,0.149062
158,valid,0.576196,0.047413,0.280488,0.448217,0.194791
