Wave Vector	Branch 1	Branch 2	Branch 3	Branch 4	Branch 5	Branch 6	Branch 7	Branch 8	Branch 9	Branch 10	Branch 11	Branch 12	Branch 13	Branch 14	Branch 15	Branch 16	Branch 17	Branch 18	Branch 19	Branch 20	Branch 21	Branch 22	Branch 23	Branch 24	Branch 25	Branch 26	Branch 27	Branch 28	Branch 29	Branch 30	Branch 31	Branch 32	Branch 33	Branch 34	Branch 35	Branch 36	Branch 37	Branch 38	Branch 39	Branch 40	Branch 41	Branch 42	Branch 43	Branch 44	Branch 45
0.2290432	2.6138121747	2.8641905911	3.3533497523	3.4097685316	3.4606839962	4.1020927568	4.4039932484	4.5260888404	4.781473643	5.0354810817	5.3578042789	5.6356851137	5.8241051119	6.0521734516	6.3283819293	7.0105149552	8.5405932867	8.7150028058	9.010261822	9.2366687652	10.0031850602	10.3970928848	10.7806978427	10.9177899257	11.0375770224	11.2575431158	11.8828537486	12.3488857361	12.7554097108	13.3157279802	14.1067706724	14.2230762391	15.409645857	15.7218051287	15.8785624113	16.0428006374	18.1336392713	18.4598007654	18.6070826466	19.1105649467	21.036113196	21.6643893058	21.7028811076	21.8731535154	22.9308072147
0.2343752	2.6081106569	2.8251379291	3.3583548076	3.4166032918	3.4605915356	4.110732111	4.4709623869	4.6013518226	4.8250170619	5.0647912185	5.3626371578	5.6450284118	5.8354472914	6.0529889225	6.3432047444	6.9402963644	8.4547990823	8.633168512	8.9494926865	9.1504656501	9.9708166405	10.3664663302	10.7277626979	10.8570657305	10.989034236	11.1442004924	11.8109022014	12.3467029428	12.6998456481	13.2417600109	14.1095069593	14.232405619	15.3759782098	15.7211167539	15.8689121648	16.0172263562	18.1552653447	18.4674297565	18.6221356362	19.1252591097	21.1036918737	21.7227659819	21.7562668508	21.935470065	22.9545020812
0.2397072	2.6001307527	2.7899537274	3.344431872	3.4328256118	3.4641627496	4.1120080811	4.5365024415	4.6774548094	4.8673126025	5.0931221429	5.3669718968	5.6526049521	5.8496991533	6.0531444221	6.3591869284	6.8746856289	8.3730306511	8.5525332609	8.8898700989	9.0751705802	9.9425049485	10.3300268773	10.6698151647	10.7838049405	10.9178922265	11.0826962827	11.74599102	12.3425529029	12.6496509282	13.1698071468	14.113118884	14.2520296724	15.3392561505	15.7228448134	15.8631208808	15.9933368183	18.1767502934	18.4712593779	18.6334315146	19.1395668029	21.1641949354	21.7759818269	21.8063087673	21.9932618601	22.9787679798
0.2450393	2.5907423996	2.7593628284	3.3238753726	3.4423530932	3.475987932	4.1080942051	4.5985512035	4.7518526462	4.9072188667	5.1215730973	5.3708829699	5.6587283209	5.8652881779	6.0525939558	6.3753868867	6.8140346904	8.2965385768	8.4751227313	8.832924545	9.0131632199	9.9166330836	10.2881159198	10.6085614551	10.7092229156	10.8214200473	11.0713175026	11.6888077027	12.3364640996	12.6040956016	13.1041261867	14.1154425314	14.280560676	15.300721603	15.7266887524	15.8591440931	15.9720111323	18.1977543179	18.4717959672	18.6416164515	19.1532171152	21.2170524079	21.8232234051	21.8523593582	22.0455584838	23.0026421323
0.2503713	2.5805838376	2.7338997756	3.3014106199	3.4447999834	3.4931167132	4.1008324769	4.655025257	4.8217468503	4.9438390157	5.1509182924	5.3739956822	5.6636493905	5.8808897603	6.051299949	6.3910316677	6.7588894398	8.2264904131	8.4031864742	8.7808565353	8.9653664366	9.8906910467	10.2440878703	10.5388245908	10.6427691832	10.7353038777	11.0765374663	11.6397889695	12.3288927482	12.5629154876	13.0479306707	14.1161063435	14.3149841283	15.2619932238	15.732021498	15.8551721655	15.9543557361	18.2178012633	18.4695895549	18.6473977405	19.1658233726	21.2619275063	21.863957392	21.8935773589	22.091530918	23.0251334631
0.2557034	2.5702033572	2.7138459381	3.27935913	3.4452111752	3.5098116571	4.0918938261	4.7039906229	4.8837385858	4.9770509121	5.1810953544	5.375721178	5.6674646047	5.8954660199	6.0493094229	6.4055269953	6.7100199017	8.1642282229	8.3391338113	8.7360345194	8.9311306818	9.8620865522	10.2038057993	10.4607264794	10.5879623418	10.6725191386	11.0859723471	11.5992607795	12.3206658092	12.5264159794	13.0030378401	14.1156171155	14.3515922022	15.2249366356	15.7380378004	15.8499546309	15.9413924726	18.2362531846	18.465316858	18.6514264104	19.1769680248	21.2986674149	21.8978680038	21.929021061	22.1304814583	23.0452861413
0.2610354	2.5601963735	2.6991591497	3.2595478496	3.4453907683	3.5240431847	4.0828456868	4.7438235556	4.933935191	5.0074040197	5.2110110406	5.3755705764	5.6701305577	5.9082010741	6.0468358624	6.4183716538	6.6684614665	8.1114745899	8.2853020743	8.7002730413	8.9086073568	9.8300547159	10.1732411696	10.3848726918	10.5419759691	10.6318294153	11.0956894179	11.5674738095	12.3128669552	12.4954624613	12.9698448256	14.1146451666	14.3865977983	15.1916806202	15.7437717357	15.8434148616	15.9334376545	18.2522722653	18.4598560599	18.6542283219	19.1862632667	21.3272484518	21.9247196653	21.9578210883	22.1618375758	23.0622359701
0.2663674	2.5512786735	2.6894632857	3.2435691071	3.4459049423	3.5350542151	4.075102447	4.773398552	4.969493272	5.0344719919	5.2385026931	5.3735952229	5.671536086	5.9184165131	6.0442948337	6.4289899498	6.6355831148	8.0703361669	8.2436506962	8.6745321396	8.8951362225	9.7976778576	10.1556458967	10.3202933938	10.5052608705	10.6069304186	11.1041438615	11.5445921355	12.3066531892	12.4712635368	12.9476895137	14.1137851018	14.4162887723	15.1646410278	15.7480086451	15.8369839883	15.9297970638	18.2647972277	18.4543236613	18.6561825796	19.1933866341	21.3477235358	21.9442914212	21.9792827012	22.1851487277	23.0752560544
0.2716995	2.5442491409	2.6841516592	3.232733724	3.4469436058	3.5424439812	4.0698113204	4.7921781723	4.9907066043	5.054965581	5.2599835549	5.3710932841	5.6716027609	5.9255292804	6.042245085	6.4365205921	6.6131427111	8.0430076717	8.2155732454	8.6590839799	8.8876785309	9.771370245	10.1508169067	10.2713483979	10.4804591418	10.5927386043	11.1107134643	11.5306779889	12.3030531169	12.4550166825	12.9354479252	14.1134977139	14.4371869177	15.1463663085	15.749341276	15.8329217491	15.9293158756	18.2726197622	18.4499943016	18.657531557	19.1980980641	21.3601780445	21.9563888004	21.9929073784	22.2000849915	23.0837907497
0.2770315	2.5398660168	2.6825798214	3.227965752	3.4485182216	3.5460084635	4.0677334178	4.8000718924	4.9994905163	5.0647795492	5.2703397582	5.3710549133	5.6703748323	5.9291156258	6.0412009213	6.4398088404	6.6030721708	8.0312638312	8.2019021456	8.6538493601	8.8835666465	9.7576455393	10.1557034537	10.2412352182	10.4695720678	10.5867284586	11.1151712425	11.5257076287	12.3028006743	12.4475903567	12.9321074969	14.1140825841	14.4465181995	15.1390454648	15.7468152066	15.8329036065	15.9310859592	18.2746878175	18.4479868095	18.6584030351	19.2002462111	21.3646972597	21.960877584	21.9983854054	22.2064366721	23.0874786055
